Timestamp,Building_ID,Energy_Usage (kWh),Temperature (°C),Humidity (%),Building_Type,Occupancy_Level
2025-01-01 00:00:00,B001,121.3,-7.2,79.36,Industrial,Low
2025-01-01 01:00:00,B001,230.76,12.62,80.37,Industrial,High
2025-01-01 02:00:00,B001,187.21,-1.33,37.74,Industrial,High
2025-01-01 03:00:00,B001,262.23,0.24,39.97,Industrial,High
2025-01-01 04:00:00,B001,472.97,5.44,89.29,Industrial,Medium
2025-01-01 05:00:00,B001,198.15,-7.64,57.01,Industrial,Medium
2025-01-01 06:00:00,B001,369.35,34.27,33.01,Industrial,Low
2025-01-01 07:00:00,B001,374.21,2.68,41.06,Industrial,Low
2025-01-01 08:00:00,B001,85.65,-7.88,31.17,Industrial,Medium
2025-01-01 09:00:00,B001,260.47,17.27,55.7,Industrial,High
2025-01-01 10:00:00,B001,180.61,15.29,36.72,Industrial,Low
2025-01-01 11:00:00,B001,305.79,25.64,89.2,Industrial,Medium
2025-01-01 12:00:00,B001,279.35,30.9,77.11,Industrial,High
2025-01-01 13:00:00,B001,326.78,31.71,87.72,Industrial,High
2025-01-01 14:00:00,B001,72.73,14.63,83.43,Industrial,Low
2025-01-01 15:00:00,B001,114.27,16.09,46.95,Industrial,Low
2025-01-01 16:00:00,B001,420.64,21.91,65.26,Industrial,Medium
2025-01-01 17:00:00,B001,310.34,-6.28,39.27,Industrial,High
2025-01-01 18:00:00,B001,210.99,-7.12,34.46,Industrial,Low
2025-01-01 19:00:00,B001,441.36,11.25,72.77,Industrial,Medium
2025-01-01 20:00:00,B001,200.7,15.69,84.58,Industrial,Low
2025-01-01 21:00:00,B001,331.35,32.19,70.78,Industrial,Medium
2025-01-01 22:00:00,B001,122.65,33.23,62.25,Industrial,Low
2025-01-01 23:00:00,B001,60.82,14.04,71.3,Industrial,High
2025-01-02 00:00:00,B001,379.92,34.79,47.25,Industrial,High
2025-01-02 01:00:00,B001,156.52,29.72,35.82,Industrial,Medium
2025-01-02 02:00:00,B001,108.15,-7.4,80.7,Industrial,Low
2025-01-02 03:00:00,B001,152.27,14.47,71.7,Industrial,Medium
2025-01-02 04:00:00,B001,90.75,20.06,38.0,Industrial,Medium
2025-01-02 05:00:00,B001,397.47,-2.33,53.07,Industrial,High
2025-01-02 06:00:00,B001,63.02,0.78,31.94,Industrial,Low
2025-01-02 07:00:00,B001,281.24,25.85,50.28,Industrial,Low
2025-01-02 08:00:00,B001,134.38,23.78,44.16,Industrial,High
2025-01-02 09:00:00,B001,54.09,19.17,60.67,Industrial,Medium
2025-01-02 10:00:00,B001,430.16,-6.42,72.42,Industrial,High
2025-01-02 11:00:00,B001,112.75,15.61,82.08,Industrial,Medium
2025-01-02 12:00:00,B001,466.62,19.7,53.33,Industrial,Medium
2025-01-02 13:00:00,B001,168.12,16.15,73.09,Industrial,High
2025-01-02 14:00:00,B001,319.82,14.77,60.84,Industrial,Medium
2025-01-02 15:00:00,B001,453.0,33.5,56.61,Industrial,Medium
2025-01-02 16:00:00,B001,286.74,20.95,46.41,Industrial,Low
2025-01-02 17:00:00,B001,73.25,-7.78,53.18,Industrial,Low
2025-01-02 18:00:00,B001,386.28,-7.84,86.91,Industrial,Medium
2025-01-02 19:00:00,B001,53.06,24.37,60.84,Industrial,Medium
2025-01-02 20:00:00,B001,250.12,15.94,89.0,Industrial,High
2025-01-02 21:00:00,B001,356.58,22.22,66.44,Industrial,High
2025-01-02 22:00:00,B001,273.22,-9.65,59.53,Industrial,Low
2025-01-02 23:00:00,B001,382.81,-0.51,80.5,Industrial,Medium
2025-01-03 00:00:00,B001,416.66,8.78,48.58,Industrial,High
2025-01-03 01:00:00,B001,110.2,32.9,34.36,Industrial,Low
2025-01-03 02:00:00,B001,206.52,17.91,62.69,Industrial,Medium
2025-01-03 03:00:00,B001,180.38,0.74,42.81,Industrial,Low
2025-01-03 04:00:00,B001,375.09,-9.67,60.55,Industrial,Low
2025-01-03 05:00:00,B001,225.91,33.94,87.28,Industrial,High
2025-01-03 06:00:00,B001,249.98,3.65,73.0,Industrial,High
2025-01-03 07:00:00,B001,170.06,12.77,76.66,Industrial,Medium
2025-01-03 08:00:00,B001,430.19,6.19,71.23,Industrial,Low
2025-01-03 09:00:00,B001,77.41,21.57,30.59,Industrial,Medium
2025-01-03 10:00:00,B001,198.22,21.2,75.97,Industrial,High
2025-01-03 11:00:00,B001,111.67,28.8,78.97,Industrial,Low
2025-01-03 12:00:00,B001,361.81,34.43,43.51,Industrial,Low
2025-01-03 13:00:00,B001,306.04,13.92,57.48,Industrial,Low
2025-01-03 14:00:00,B001,388.31,15.57,46.48,Industrial,High
2025-01-03 15:00:00,B001,167.32,13.32,73.33,Industrial,Low
2025-01-03 16:00:00,B001,306.19,18.43,61.12,Industrial,High
2025-01-03 17:00:00,B001,154.79,12.14,48.61,Industrial,Low
2025-01-03 18:00:00,B001,106.08,19.36,33.16,Industrial,Low
2025-01-03 19:00:00,B001,299.29,3.41,57.3,Industrial,Medium
2025-01-03 20:00:00,B001,368.43,-5.22,76.55,Industrial,Medium
2025-01-03 21:00:00,B001,454.88,18.28,56.32,Industrial,Low
2025-01-03 22:00:00,B001,425.45,15.98,68.78,Industrial,Medium
2025-01-03 23:00:00,B001,413.05,1.33,79.42,Industrial,Medium
2025-01-04 00:00:00,B001,86.65,9.58,47.56,Industrial,Medium
2025-01-04 01:00:00,B001,169.3,9.44,89.94,Industrial,High
2025-01-04 02:00:00,B001,123.51,-5.31,38.73,Industrial,Medium
2025-01-04 03:00:00,B001,287.69,11.03,36.4,Industrial,High
2025-01-04 04:00:00,B001,246.05,-4.19,74.54,Industrial,Low
2025-01-04 05:00:00,B001,83.88,-4.94,32.96,Industrial,High
2025-01-04 06:00:00,B001,111.05,1.7,53.1,Industrial,High
2025-01-04 07:00:00,B001,419.51,33.63,57.24,Industrial,High
2025-01-04 08:00:00,B001,307.48,31.96,81.49,Industrial,Medium
2025-01-04 09:00:00,B001,203.43,34.9,45.81,Industrial,Low
2025-01-04 10:00:00,B001,468.8,-8.89,71.8,Industrial,High
2025-01-04 11:00:00,B001,150.35,8.36,50.87,Industrial,Medium
2025-01-04 12:00:00,B001,79.37,26.98,68.78,Industrial,Low
2025-01-04 13:00:00,B001,281.4,14.26,45.31,Industrial,Low
2025-01-04 14:00:00,B001,460.32,9.76,32.4,Industrial,High
2025-01-04 15:00:00,B001,93.66,-7.11,65.56,Industrial,Medium
2025-01-04 16:00:00,B001,74.8,9.21,58.14,Industrial,Low
2025-01-04 17:00:00,B001,476.1,2.38,53.88,Industrial,Low
2025-01-04 18:00:00,B001,79.72,33.77,51.6,Industrial,Medium
2025-01-04 19:00:00,B001,347.81,26.76,74.97,Industrial,Medium
2025-01-04 20:00:00,B001,371.9,2.07,48.94,Industrial,Medium
2025-01-04 21:00:00,B001,350.12,-5.39,30.72,Industrial,High
2025-01-04 22:00:00,B001,441.36,30.09,56.94,Industrial,High
2025-01-04 23:00:00,B001,272.29,29.12,74.21,Industrial,Medium
2025-01-05 00:00:00,B001,160.09,8.96,80.33,Industrial,High
2025-01-05 01:00:00,B001,208.37,10.08,70.3,Industrial,Medium
2025-01-05 02:00:00,B001,95.85,31.0,79.23,Industrial,Medium
2025-01-05 03:00:00,B001,322.59,18.43,61.62,Industrial,Low
2025-01-05 04:00:00,B001,91.11,24.05,64.95,Industrial,Low
2025-01-05 05:00:00,B001,132.91,-7.43,65.27,Industrial,Low
2025-01-05 06:00:00,B001,57.87,-7.79,64.37,Industrial,Medium
2025-01-05 07:00:00,B001,499.24,14.36,47.04,Industrial,High
2025-01-05 08:00:00,B001,173.4,-8.8,74.11,Industrial,High
2025-01-05 09:00:00,B001,427.28,22.2,71.22,Industrial,Medium
2025-01-05 10:00:00,B001,142.65,5.86,37.57,Industrial,Medium
2025-01-05 11:00:00,B001,187.62,24.17,67.18,Industrial,High
2025-01-05 12:00:00,B001,332.76,-1.72,36.34,Industrial,High
2025-01-05 13:00:00,B001,321.02,4.5,76.61,Industrial,Medium
2025-01-05 14:00:00,B001,366.47,27.55,33.37,Industrial,Low
2025-01-05 15:00:00,B001,273.75,32.76,48.0,Industrial,Low
2025-01-05 16:00:00,B001,191.37,33.11,32.01,Industrial,Medium
2025-01-05 17:00:00,B001,144.46,25.5,76.47,Industrial,Medium
2025-01-05 18:00:00,B001,329.55,-7.84,59.01,Industrial,High
2025-01-05 19:00:00,B001,464.51,33.92,43.34,Industrial,High
2025-01-05 20:00:00,B001,340.67,0.48,39.41,Industrial,Low
2025-01-05 21:00:00,B001,207.85,27.47,59.6,Industrial,High
2025-01-05 22:00:00,B001,467.61,-2.56,30.14,Industrial,Medium
2025-01-05 23:00:00,B001,182.67,5.95,63.88,Industrial,High
2025-01-06 00:00:00,B001,256.01,1.65,82.72,Industrial,Low
2025-01-06 01:00:00,B001,96.56,19.55,84.42,Industrial,High
